"causal_itemA","similarity_itemA","itemB","mean_causal_dissimilarity_causalAitemB","mean_emp_euclidean_causalAitemB","mean_mean_itemB_causal_dissimilarity","mean_itemB_emp_euclidean","mean_causal_dissimilarity_simAitemB","mean_emp_euclidean_simAitemB"
"take a walk","take a walk","become hungry",0.1848,0.596913624105401,0.467657142857143,0.518710935796445,0.1848,0.596913624105401
"take a walk","get sick","choose what to do",0.3732,0.43514335592781,0.284471428571429,0.47194962295925,0.2798,0.536885960582449
"take a walk","think about something","experience pain",0.2758,0.610350694956424,0.321471428571429,0.517983089951248,0.387,0.628453786693097
"take a walk","take a walk","feel scared",0.426,0.60876818685834,0.356642857142857,0.521494581423142,0.426,0.60876818685834
"take a walk","see something","get sick",0.5486,0.63727874924135,0.5114,0.527372512292948,0.3904,0.656520014300325
"take a walk","think about something","get tired",0.1252,0.560842729679717,0.358285714285714,0.505211681667533,0.3616,0.622419142829214
"take a walk","take a walk","hear something",0.2706,0.611037866266411,0.487371428571429,0.500410707452547,0.2706,0.611037866266411
"take a walk","remember something","jump up and down",0.649,0.266495803794806,0.519071428571429,0.51447712813936,0.3962,0.659215144934383
"take a walk","think about something","kick something",0.6036,0.309218762088692,0.513142857142857,0.51689869427952,0.37,0.639416761174862
"take a walk","feel scared","reach for something",0.557,0.460803516623923,0.3641,0.502447172820323,0.2992,0.614125286266053
"take a walk","kick something","remember something",0.275,0.640018357567654,0.331657142857143,0.523078306103547,0.4762,0.659174357998835
"take a walk","experience pain","see something",0.2418,0.624295988362361,0.449857142857143,0.519324573466539,0.492,0.62908669072944
"take a walk","think about something","sit down",0.5412,0.381499177304574,0.3406,0.518456951566562,0.2978,0.644839411956064
"sit down","get sick","take a walk",0.7564,0.381499177304574,0.5014,0.526998861739525,0.6564,0.63727874924135
"sit down","get sick","think about something",0.288,0.644839411956064,0.255771428571429,0.527436484743162,0.3132,0.668926466609462
